商品ID,タイトル,メーカー,分類,品番,JANコード,状態,仕入値,市場価格,在庫数,リンク,相場ソース,相場日時
BKO-00672,中古 ビジネスバッグ 本革 #287,PORTER,バッグ,PT-BIZ-287,,未使用に近い,18750,25000,1,https://example.invalid/bko/672,,
BKO-00673,中古 二つ折り財布 #288,COACH,財布,CH-W2-288,,目立った傷や汚れなし,15185,17300,1,https://example.invalid/bko/673,,
BKO-00674,中古 アコースティックギター #289,YAMAHA,楽器,FG830-289,4900000000288,やや傷や汚れあり,27990,34000,4,https://example.invalid/bko/674,相場サイト 直近30日中央値,2026-08-18
BKO-00675,中古 キーボード 61鍵 #290,CASIO,楽器,CT-S300-290,,傷や汚れあり,9950,14000,1,https://example.invalid/bko/675,,
BKO-00676,中古 ゲームソフト 人気タイトル #291,NINTENDO,ゲームソフト,HAC-GEN-291,,新品,2835,4300,1,https://example.invalid/bko/676,,
BKO-00677,中古 家庭用ゲーム機 旧型 #292,SONY,ゲーム機,CUH-2200-292,4900000000291,未使用に近い,14230,18000,1,https://example.invalid/bko/677,,
BKO-00678,中古 タブレット 10型 #293,LENOVO,タブレット,TB-J606-293,,目立った傷や汚れなし,11438,17500,1,https://example.invalid/bko/678,相場サイト 直近30日中央値,2026-08-18
BKO-00679,中古 スマートウォッチ #294,GARMIN,時計,FR-255-294,,やや傷や汚れあり,23450,26000,1,https://example.invalid/bko/679,,
BKO-00680,中古 空気清浄機 #295,PANASONIC,生活家電,F-VXR-295,4900000000294,傷や汚れあり,15950,21500,1,https://example.invalid/bko/680,,
BKO-00681,中古 コーヒーメーカー #296,DELONGHI,生活家電,ECAM-296,,新品,22025,35000,1,https://example.invalid/bko/681,,
BKO-00682,中古 電動アシスト自転車 バッテリー #297,YAMAHA,その他,X0T-82-297,,未使用に近い,20680,25500,1,https://example.invalid/bko/682,相場サイト 直近30日中央値,2026-08-18
BKO-00683,中古 プロジェクター 小型 #298,EPSON,家電,EF-12-298,4900000000297,目立った傷や汚れなし,41500,45000,4,https://example.invalid/bko/683,,
BKO-00684,中古 マイク コンデンサー #299,AUDIOTECHNICA,オーディオ,AT2020-299,,やや傷や汚れあり,9390,13300,1,https://example.invalid/bko/684,,
BKO-00685,中古 トートバッグ ナイロン #300,PRADA,バッグ,BR4001-300,,傷や汚れあり,52900,57000,1,https://example.invalid/bko/685,,
